# Pipeline      : P1 — Career + O*NET → TF-IDF
# Query         : Career title + O*NET occupation description
# Retrieval     : TF-IDF cosine similarity
# Domain filter : None
# SFIA          : Not used
# Students      : cs_students_excluded_careers.csv
# Courses       : Coursera_cleaned.csv
# Total recs    : 1300
# Students cov  : 130
# Careers cov   : 17
#
student_id,student_name,future_career,interested_domain,rank,course,rating,rating_norm,level,skills,sim_score,final_score
1,John Smith,Machine Learning Researcher,Artificial Intelligence,1,Being a researcher (in Information Science and Technology),4.8,0.96,Advanced,Laboratory Research  physics  window blind  physics experiments  pharmacy  medical laboratory  pharmacology  Scientific Analysis  research methods  robotics physical-science-and-engineering research-methods,0.2664,0.2557
1,John Smith,Machine Learning Researcher,Artificial Intelligence,2,How Computers Work,4.5,0.9,Beginner,web  Computer Architecture  Computer Science  c programming  lambda calculus  client server model  debugging  Calculus  internet  Computer Programming computer-science computer-security-and-networks,0.2817,0.2535
1,John Smith,Machine Learning Researcher,Artificial Intelligence,3,Technical Support Fundamentals,4.8,0.96,Conversant,binary code  internet  Troubleshooting  PC Hardware  software  technical support  Networking Hardware  Operating Systems  Customer Support  Software Installation information-technology support-and-operations,0.2223,0.2134
1,John Smith,Machine Learning Researcher,Artificial Intelligence,4,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9,0.98,Beginner,architecture  memory  language  hardware description language  logic gate  machine code  Computer Architecture  logic  assembly languages  Hardware Design computer-science algorithms,0.1816,0.178
1,John Smith,Machine Learning Researcher,Artificial Intelligence,5,"Computer Science:  Algorithms, Theory, and Machines",4.7,0.94,Advanced,insertion sort  Algorithms  combinational logic  Computer Architecture  two's complement  architecture  binary search algorithm  lambda calculus  Theoretical Computer Science  string searching algorithm computer-science algorithms,0.1891,0.1778
1,John Smith,Machine Learning Researcher,Artificial Intelligence,6,Introduction to Computers and Office Productivity Software,4.6,0.92,Beginner,software  coreldraw  image editing  adobe illustrator  Microsoft Excel  Quickbooks  desktop publishing  adobe creative suite  photography  adobe illustrator artwork computer-science design-and-product,0.1813,0.1668
1,John Smith,Machine Learning Researcher,Artificial Intelligence,7,Machine Learning for All,4.7,0.94,Conversant,robotics  Machine Learning  Artificial Neural Networks  Training  Algorithms  Tensorflow  statistical classification  modeling  Human Learning  Deep Learning computer-science software-development,0.1705,0.1603
1,John Smith,Machine Learning Researcher,Artificial Intelligence,8,Introduction to Applied Machine Learning,4.7,0.94,Intermediate,Algorithms  Machine Learning Algorithms  Applied Machine Learning  Test Set  Machine Learning  ordered pair  Training  Human Learning  Deep Learning  business requirements data-science machine-learning,0.1597,0.1501
1,John Smith,Machine Learning Researcher,Artificial Intelligence,9,Developing AI Applications on Azure,4.3,0.86,Beginner,Machine Learning  web service  workspace  Training  Computer Programming  Microsoft Azure  Python Programming  Computer Vision  Human Learning  application programming interfaces data-science machine-learning,0.1651,0.142
1,John Smith,Machine Learning Researcher,Artificial Intelligence,10,Hardware Security,4.1,0.82,Advanced,graph coloring  Hardware Design  trusted platform module  vulnerability (computing)  security  modular exponentiation  System Security  Cryptography  Systems Design  side-channel attack computer-science computer-security-and-networks,0.1595,0.1308
2,Alice Johnson,Data Scientist,Data Science,1,Introduction to Data Analytics,4.7,0.94,Advanced,analytics  Data Analysis  physics  Exploratory Data Analysis  business analytics  Python Programming  quality control  Data Science  SQL  Business Analysis data-science data-analysis,0.3941,0.3705
2,Alice Johnson,Data Scientist,Data Science,2,Data Visualization with Python,4.4,0.88,Beginner,Chart  Python Programming  Choropleth Map  analysis  Computer Programming  Data Visualization  Map  Matplotlib  Bar Chart  Data Analysis data-science data-analysis,0.417,0.367
2,Alice Johnson,Data Scientist,Data Science,3,Introduction to Accounting Data Analytics and Visualization,4.8,0.96,Advanced,data clustering algorithms  analytics  tableau software  Microsoft Excel  Data Visualization  microsoft excel vba  Pivot Table  analysis  Data Analysis  software data-science data-analysis,0.339,0.3254
2,Alice Johnson,Data Scientist,Data Science,4,Machine Learning With Big Data,4.6,0.92,Beginner,statistical classification  knime  data clustering algorithms  Human Learning  analysis  Algorithms  Apache Spark  cluster analysis  Machine Learning  Apache data-science machine-learning,0.3369,0.3099
2,Alice Johnson,Data Scientist,Data Science,5,Basic Data Processing and Visualization,4.2,0.84,Advanced,software  jpeg  Outlier  Python Programming  Data Visualization  Numpy  predictive analytics  Big Data  python libraries  json data-science data-analysis,0.3473,0.2917
2,Alice Johnson,Data Scientist,Data Science,6,SQL for Data Science,4.5,0.9,Conversant,modeling  Databases  data retrieval  analysis  Data Analysis  SQL  mysql  Data Model  sqlite  join (sql) data-science data-analysis,0.3213,0.2892
2,Alice Johnson,Data Scientist,Data Science,7,Data Analysis with Python,4.6,0.92,Conversant,Data Model  Regression  Python Programming  Regression Analysis  Exploratory Data Analysis  analysis  Computer Programming  modeling  Data Analysis  linearity data-science data-analysis,0.3126,0.2876
