# Pipeline      : P3 Excluded — Career Title → LLM → TF-IDF
# Purpose       : Recommendations for excluded career students
# Note          : Supplementary analysis — not in main comparison
# LLM model     : claude-haiku-4-5-20251001
# Total recs    : 490
# Students cov  : 49
# Careers cov   : 15
#
student_id,student_name,future_career,interested_domain,rank,course,rating,rating_norm,level,skills,sim_score,final_score
9,James Wilson,Mobile App Developer,Mobile App Development,1,Multiplatform Mobile App Development with React Native,4.3,0.86,Intermediate,React (web framework)  node.js  Mobile Development  Android Development  web  javascript library  mobile app  Javascript  Web Development  Redux computer-science mobile-and-web-development,0.2834,0.2437
9,James Wilson,Mobile App Developer,Mobile App Development,2,Build a mobile app with Google Sheets on Glide and no coding,4.5,0.9,Beginner,Accounting  blogging  mobile app  page layout  Data Structures  project  dynamic web page  Digital Marketing  personalization  entry point computer-science software-development,0.2595,0.2336
9,James Wilson,Mobile App Developer,Mobile App Development,3,iOS App Development Basics,4.2,0.84,Intermediate,interfaces  Mobile Development  java annotation  xcode  interface builder  user interface  application programming interfaces  iOS Development  Application Design  Swift Programming computer-science mobile-and-web-development,0.2648,0.2224
9,James Wilson,Mobile App Developer,Mobile App Development,4,Programming Mobile Applications for Android Handheld Systems: Part 1,4.5,0.9,Intermediate,user interface  software  Computer Programming  lecture  mobile app  Android Development  Mobile Development  Software Engineering  html  android studio computer-science mobile-and-web-development,0.2462,0.2216
9,James Wilson,Mobile App Developer,Mobile App Development,5,Programming Mobile Applications for Android Handheld Systems: Part 2,4.7,0.94,Advanced,notification area  interaction technique  Android Development  Software Engineering  mobile app  shell (computing)  widget (gui)  php  graphical user interface elements  Databases computer-science mobile-and-web-development,0.2307,0.2169
9,James Wilson,Mobile App Developer,Mobile App Development,6,Mobile Interaction Design: How to Design Usable Mobile Products and Services,4.5,0.9,Advanced,usability goals  mobile interaction  usability  test plan  interaction design  visual hierarchy  User Research  user interface  cognitive walkthrough  user interface design computer-science design-and-product,0.2397,0.2157
9,James Wilson,Mobile App Developer,Mobile App Development,7,Multiplatform Mobile App Development with NativeScript,4.3,0.86,Advanced,Angular  mobile app  node.js  Web Development  Android Development  Javascript  Mobile Development  React (web framework)  web  Application Development computer-science mobile-and-web-development,0.2505,0.2154
9,James Wilson,Mobile App Developer,Mobile App Development,8,Multiplatform Mobile App Development with Web Technologies: Ionic and Cordova,4.4,0.88,Advanced,Android Development  Angular  web  Mobile Development  node.js  Javascript  mobile app  Web Development  ionic (mobile app framework)  iOS Development computer-science mobile-and-web-development,0.2337,0.2057
9,James Wilson,Mobile App Developer,Mobile App Development,9,Build a Persistent Storage App in Android Studio,4.4,0.88,Beginner,i-deas  radio button  android studio  text box  telephone number  persistence (computer science)  exit (system call)  persistence  Software Engineering  Android Development computer-science mobile-and-web-development,0.2313,0.2035
9,James Wilson,Mobile App Developer,Mobile App Development,10,App Design and Development for iOS,4.0,0.8,Advanced,interactivity  iOS Development  persistent data structure  Algorithms  Human Computer Interaction  Swift Programming  navigation controls  game design  Application Design  Mobile Development computer-science mobile-and-web-development,0.2464,0.1971
