student_id,student_name,future_career,job_query,interested_domain,rank,course,rating,rating_norm,level,skills,sim_score,final_score
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,1,Machine Learning for All,4.7,0.94,Conversant,robotics  Machine Learning  Artificial Neural Networks  Training  Algorithms  Tensorflow  statistical classification  modeling  Human Learning  Deep Learning computer-science software-development,0.355,0.3337
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,2,Introduction to Applied Machine Learning,4.7,0.94,Intermediate,Algorithms  Machine Learning Algorithms  Applied Machine Learning  Test Set  Machine Learning  ordered pair  Training  Human Learning  Deep Learning  business requirements data-science machine-learning,0.3291,0.3094
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,3,"The Power of Machine Learning: Boost Business, Accumulate Clicks, Fight Fraud, and Deny Deadbeats",5.0,1.0,Intermediate,Data Analysis  fuzzy logic  predictive analytics  Machine Learning  business case  analytics  natural language toolkit  .bit  software  Mathematics data-science machine-learning,0.3062,0.3062
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,4,Structuring Machine Learning Projects,4.8,0.96,Beginner,bias  Human Learning  analysis  computer multitasking  error  Strategy  Deep Learning  Multi-Task Learning  Machine Learning  project data-science data-analysis,0.3175,0.3048
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,5,Machine Learning With Big Data,4.6,0.92,Beginner,statistical classification  knime  data clustering algorithms  Human Learning  analysis  Algorithms  Apache Spark  cluster analysis  Machine Learning  Apache data-science machine-learning,0.3163,0.291
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,6,Machine Learning Foundations: A Case Study Approach,4.5,0.9,Conversant,Human Learning  Regression  Machine Learning  Graphlab  statistical classification  linearity  Algorithms  Computer Programming  Python Programming  analysis data-science machine-learning,0.3106,0.2795
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,7,Developing AI Applications on Azure,4.3,0.86,Beginner,Machine Learning  web service  workspace  Training  Computer Programming  Microsoft Azure  Python Programming  Computer Vision  Human Learning  application programming interfaces data-science machine-learning,0.3128,0.269
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,8,Building a Data Science Team,4.5,0.9,Intermediate,Data Analysis  team management  Team Building  Machine Learning  Data Science  Business Intelligence  Communication  leadership  Leadership and Management  Data Management data-science data-analysis,0.2886,0.2597
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,9,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.6,0.92,Beginner,Human Learning  Convolutional Neural Network  convolution  Computer Vision  Tensorflow  Keras  Artificial Neural Networks  Deep Learning  Machine Learning  Computer Programming computer-science software-development,0.274,0.2521
1,John Smith,Machine Learning Researcher,Machine Learning,Artificial Intelligence,10,Machine Learning for Data Analysis,4.2,0.84,Intermediate,Algorithms  Data Analysis  numbers (spreadsheet)  evaluation  Machine Learning  Regression  Dependent And Independent Variables  Human Learning  Regression Analysis  decision tree data-science machine-learning,0.2939,0.2469
2,Alice Johnson,Data Scientist,Data Scientist,Data Science,1,Introduction to Data Analytics,4.7,0.94,Advanced,analytics  Data Analysis  physics  Exploratory Data Analysis  business analytics  Python Programming  quality control  Data Science  SQL  Business Analysis data-science data-analysis,0.4405,0.4141
2,Alice Johnson,Data Scientist,Data Scientist,Data Science,2,SQL for Data Science,4.5,0.9,Conversant,modeling  Databases  data retrieval  analysis  Data Analysis  SQL  mysql  Data Model  sqlite  join (sql) data-science data-analysis,0.3933,0.354
